validation_epoch_year,training_span,feature,gain_importance,split_count,normalized_weight
2021,2020-2020,temp_c,43200.60197984427,809,0.1508374147197986
2021,2020-2020,wind_speed,414.68920474871993,475,0.0014479114801615465
2021,2020-2020,pressure_kpa,653.0190164782107,261,0.002280053881063857
2021,2020-2020,solar_rad,112221.23114208132,583,0.3918269562549628
2021,2020-2020,precip,386.91430799663067,134,0.0013509338125320737
2021,2020-2020,soil_moisture,6217.9331322051585,632,0.021710275217923868
2021,2020-2020,ndvi,41811.487260151654,778,0.14598723987349876
2021,2020-2020,temp_c_lag1,95.25208097323775,161,0.00033257818137320073
2021,2020-2020,precip_lag1,9.436143815517426,59,3.2946845016672045e-05
2021,2020-2020,ndvi_lag1,18790.070729859173,290,0.0656066249404688
2021,2020-2020,soil_moisture_lag1,205.26601214706898,161,0.00071669822139405
2021,2020-2020,temp_c_lag4,7663.953371532261,379,0.026759138996126964
2021,2020-2020,soil_moisture_lag4,355.9454865902662,149,0.0012428043711869138
2021,2020-2020,temp_c_roll24h,13572.438991628587,250,0.04738896022547569
2021,2020-2020,solar_rad_roll24h,1485.616777524352,225,0.005187117394583567
2021,2020-2020,soil_moisture_roll24h,2827.1868295893073,197,0.009871287268267186
2021,2020-2020,precip_cum48h,20.352237030863762,80,7.10610194490421e-05
2021,2020-2020,sin_hour,1935.244126394391,31,0.006757017437238438
2021,2020-2020,cos_hour,23883.95986778289,104,0.08339223516858922
2021,2020-2020,sin_doy,258.6594071723521,299,0.0009031243659298186
2021,2020-2020,cos_doy,10395.822889082134,243,0.03629762032495894
2022,2020-2021,temp_c,49661.098807289265,947,0.19301636508341893
2022,2020-2021,wind_speed,371.85069387499243,453,0.0014452614019680792
2022,2020-2021,pressure_kpa,380.5392130734399,355,0.0014790308197602541
2022,2020-2021,solar_rad,91490.21985889971,600,0.3555924073765288
2022,2020-2021,precip,302.5717629538849,161,0.0011759969727787938
2022,2020-2021,soil_moisture,6177.234776525758,637,0.024008880823572925
2022,2020-2021,ndvi,42500.94460262358,710,0.16518719957533567
2022,2020-2021,temp_c_lag1,44.255126780830324,314,0.0001720051290183685
2022,2020-2021,precip_lag1,10.136600150726736,94,3.939763240015405e-05
2022,2020-2021,ndvi_lag1,8354.68687034212,313,0.03247192127949664
2022,2020-2021,soil_moisture_lag1,51.76205147057772,241,0.0002011820774019056
2022,2020-2021,temp_c_lag4,7291.678918356076,466,0.028340358831728172
2022,2020-2021,soil_moisture_lag4,100.35410470981151,238,0.0003900434138087476
2022,2020-2021,temp_c_roll24h,13368.676611922216,425,0.0519596510665647
2022,2020-2021,solar_rad_roll24h,1652.5183791238815,330,0.006422795677755269
2022,2020-2021,soil_moisture_roll24h,1899.4535741622094,293,0.007382551601449555
2022,2020-2021,precip_cum48h,15.392378800548613,123,5.9825116185969046e-05
2022,2020-2021,sin_hour,785.8253264930099,52,0.0030542447056751084
2022,2020-2021,cos_hour,24519.733855370432,94,0.09530014468551748
2022,2020-2021,sin_doy,364.04133842885494,357,0.0014149090046579212
2022,2020-2021,cos_doy,7946.601531595923,344,0.030885827724976552
2023,2020-2022,temp_c,72902.6342485547,982,0.18819703520729836
2023,2020-2022,wind_speed,551.0331724733114,463,0.0014224837062373366
2023,2020-2022,pressure_kpa,554.7184516983107,340,0.001431997198187316
2023,2020-2022,solar_rad,138828.09154500812,667,0.3583825948343684
2023,2020-2022,precip,520.618576336652,180,0.0013439688915266442
2023,2020-2022,soil_moisture,8738.192112566903,731,0.022557509280804793
2023,2020-2022,ndvi,66984.61520843767,813,0.17291975957617192
2023,2020-2022,temp_c_lag1,58.4817965272814,325,0.00015096986320832476
2023,2020-2022,precip_lag1,11.149373574182391,75,2.8781937342975005e-05
2023,2020-2022,ndvi_lag1,10583.872267415747,314,0.027322104369361364
2023,2020-2022,soil_moisture_lag1,132.6054301932454,228,0.00034231888973548167
2023,2020-2022,temp_c_lag4,9292.017297383398,505,0.023987200524199948
2023,2020-2022,soil_moisture_lag4,335.20269207656384,223,0.0008653206223966442
2023,2020-2022,temp_c_roll24h,22131.30918577593,448,0.05713163614662731
2023,2020-2022,solar_rad_roll24h,1867.6167820412666,299,0.004821224156115176
2023,2020-2022,soil_moisture_roll24h,3225.526347886771,271,0.008326646930009248
2023,2020-2022,precip_cum48h,24.432450156658888,126,6.30719963651307e-05
2023,2020-2022,sin_hour,1027.315524496138,43,0.0026519993128566103
2023,2020-2022,cos_hour,37133.130186308175,119,0.09585860759439398
2023,2020-2022,sin_doy,838.9238741733134,343,0.002165669149152429
2023,2020-2022,cos_doy,11632.49186213687,377,0.030029099813640617
2024,2020-2023,temp_c,97420.32643831056,1062,0.18945648900212106
2024,2020-2023,wind_speed,760.2261360343546,455,0.0014784365834774904
2024,2020-2023,pressure_kpa,796.0477328207344,368,0.0015481000121039042
2024,2020-2023,solar_rad,183227.74047726952,593,0.3563289681706932
2024,2020-2023,precip,610.6062723491341,169,0.0011874659503958239
2024,2020-2023,soil_moisture,12105.768407274038,765,0.023542483000888535
2024,2020-2023,ndvi,91665.8045049645,852,0.17826548234841405
2024,2020-2023,temp_c_lag1,65.31836704723537,290,0.00012702676064175648
2024,2020-2023,precip_lag1,11.69078429788351,75,2.2735449856664915e-05
2024,2020-2023,ndvi_lag1,10350.452260896564,315,0.020128862390696948
2024,2020-2023,soil_moisture_lag1,110.50416575372219,286,0.00021490105842609505
2024,2020-2023,temp_c_lag4,14013.376580320299,492,0.027252270886745703
2024,2020-2023,soil_moisture_lag4,557.7795660132542,259,0.0010847321301157256
2024,2020-2023,temp_c_roll24h,27720.445457797498,454,0.05390885518470024
2024,2020-2023,solar_rad_roll24h,3222.220114171505,340,0.006266356641799133
2024,2020-2023,soil_moisture_roll24h,3868.5464887609705,293,0.007523288641064494
2024,2020-2023,precip_cum48h,32.330463498830795,145,6.287410775797781e-05
2024,2020-2023,sin_hour,1511.479665150866,52,0.002939423845381139
2024,2020-2023,cos_hour,49193.61558992043,123,0.09566843010824916
2024,2020-2023,sin_doy,836.2105652070604,366,0.0016262059833163115
2024,2020-2023,cos_doy,16129.009733985178,387,0.031366611743154596
2025,2020-2024,temp_c,121888.68434012495,1131,0.18774055287988634
2025,2020-2024,wind_speed,858.9199890773743,451,0.0013229621314067167
