datetime,year,month,day,hour,region,station_node,latitude,longitude,elevation_m,temp_c,dewpoint_c,vpd_kpa,rh_pct,solar_rad,pressure_kpa,u_wind_10m,v_wind_10m,wind_speed,precip,p_eff_mm,soil_moisture_layer1,soil_moisture_layer2,soil_moisture_layer3,soil_moisture_root,soil_moisture,ndvi,kc_dynamic,modis_et_mm,et0_fao56_mm,et_crop_mm,et_green_mm,et_blue_mm,crop_yield_ton_ha,cwf_green_m3_ton,cwf_blue_m3_ton,cwf_total_m3_ton
2020-01-01 00:00:00,2020,1,1,0,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,18.470330810546898,13.267633056640648,0.6016284171092556,71.6990008575965,18.135024,94.48610546875,-0.609222412109375,0.74688720703125,0.9638425428685468,0.012162327664100303,0.010337978514485258,0.2614288330078125,0.2849578857421875,0.3404998779296875,0.32330108642578126,0.32330108642578126,0.34797182040710595,0.6096267455767335,4.883961575279019,3.173924704447283,1.9349093882777928,1.9349093882777928,0.0,105.0,0.18427708459788503,0.0,0.18427708459788503
2020-01-01 00:00:00,2020,1,1,0,kolhapur,Karveer_Panchganga,16.7,74.3,570.0,17.831658935546898,13.767633056640648,0.4675854730432927,77.10428477945214,18.078364,94.35310546875,-0.576995849609375,0.78790283203125,0.9765833723698703,0.006663799183570518,0.00566422930603494,0.2216339111328125,0.3036651611328125,0.3636932373046875,0.3411431884765625,0.3411431884765625,0.3762939874211507,0.6497498155132968,4.845463843136161,3.1149808516087876,2.0239582336602617,2.0239582336602617,0.0,105.0,0.192757927015263,0.0,0.192757927015263
2020-01-01 00:00:00,2020,1,1,0,kolhapur,Shirol_Hatkanangle,16.75,74.45,550.0,17.532830810546898,13.168023681640648,0.4898229029830137,75.55935425826486,17.942992,94.43710546875,-0.656097412109375,0.74981689453125,0.9963378892228815,0.011089444058143272,0.009426027449421781,0.24932861328125,0.3007659912109375,0.359893798828125,0.33973739624023436,0.33973739624023436,0.4653666056691553,0.7759360246979699,4.802568546707591,3.065930284500026,2.378965756956066,2.378965756956066,0.0,105.0,0.22656816732914914,0.0,0.22656816732914914
2020-01-01 03:00:00,2020,1,1,3,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,19.959039306640648,14.546853637695335,0.6761324792610108,71.01075741006842,0.567106,94.7344375,-0.47088623046875,0.4575347900390625,0.6565606797099243,0.0,0.0,0.26141357421875,0.2849578857421875,0.3405303955078125,0.32332199096679687,0.32332199096679687,0.3277386266617017,0.5809630544374107,0.9279858008370545,0.12049436678447933,0.0700027753696128,0.0700027753696128,0.0,105.0,0.006666930987582172,0.0,0.006666930987582172
2020-01-01 03:00:00,2020,1,1,3,kolhapur,Karveer_Panchganga,16.7,74.3,570.0,19.863336181640648,13.310525512695335,0.7901055557012537,65.92273297777912,0.562385,94.6074375,-0.52752685546875,0.5239410400390625,0.7435044025948749,0.0,0.0,0.2216949462890625,0.3036651611328125,0.36370849609375,0.34115844726562494,0.34115844726562494,0.33831046990149655,0.5959398323604534,0.9230785901227688,0.12365607137652145,0.07369157844647646,0.07369157844647646,0.0,105.0,0.007018245566331092,0.0,0.007018245566331092
2020-01-01 03:00:00,2020,1,1,3,kolhapur,Shirol_Hatkanangle,16.75,74.45,550.0,19.732476806640648,13.398416137695335,0.7625825060120994,66.84186752887628,0.564419,94.6934375,-0.59588623046875,0.4956207275390625,0.7750614848053062,0.0,0.0,0.249359130859375,0.3007659912109375,0.359893798828125,0.3397395324707031,0.3397395324707031,0.46644770633483473,0.7774675839743491,0.9183091294084831,0.12360522487712818,0.09609905555182696,0.09609905555182696,0.0,105.0,0.0091522910049359,0.0,0.0091522910049359
2020-01-01 06:00:00,2020,1,1,6,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,27.359353637695335,13.806268310546898,2.0625817794835,43.35431869579685,6.430798,94.75678125,-0.9140167236328125,1.675537109375,1.908625467705278,0.0,0.0,0.2603759765625,0.284820556640625,0.3402252197265625,0.32300079345703125,0.32300079345703125,0.3039195702268658,0.5472193911547265,2.5642708312220996,1.318529463863591,0.7215248904350022,0.7215248904350022,0.0,105.0,0.06871665623190497,0.0,0.06871665623190497
2020-01-01 06:00:00,2020,1,1,6,kolhapur,Karveer_Panchganga,16.7,74.3,570.0,27.203103637695335,13.413690185546898,2.06925746796458,42.64876540215761,6.411898,94.63478125,-0.9950714111328125,1.751708984375,2.0146095103503163,0.0,0.0,0.2207183837890625,0.3034210205078125,0.3634796142578125,0.34087402343749995,0.34087402343749995,0.3732804073283127,0.645480577048443,2.5537008312220992,1.309038459891836,0.8449589004695874,0.8449589004695874,0.0,105.0,0.0804722762351988,0.0,0.0804722762351988
2020-01-01 06:00:00,2020,1,1,6,kolhapur,Shirol_Hatkanangle,16.75,74.45,550.0,26.919900512695335,14.433221435546898,1.9045147098834203,46.3308241040852,6.40025,94.72478125,-0.8573760986328125,1.952880859375,2.1328003716757133,0.0,0.0,0.2486724853515625,0.300506591796875,0.3596343994140625,0.3394502258300781,0.3394502258300781,0.4365164906451746,0.7350650284139972,2.539710306222099,1.2887557728602985,0.9473192987962583,0.9473192987962583,0.0,105.0,0.09022088559964365,0.0,0.09022088559964365
2020-01-01 09:00:00,2020,1,1,9,kolhapur,Kagal_Dudhganga,16.58,74.32,565.0,30.184411621093773,12.41614685058596,2.8466348098503866,33.616283802967374,14.074056,94.45830078125,2.2876434326171875,2.0217437744140625,3.0529920347388018,0.0,0.0,0.2584991455078125,0.284576416015625,0.33966064453125,0.3224116516113281,0.3224116516113281,0.3006716131092034,0.5426181185713714,4.424303550558037,2.7941045071947794,1.5161317307858202,1.5161317307858202,0.0,105.0,0.1443934981700781,0.0,0.1443934981700781
