year,sample_count,r2_accuracy_pct,rmse_mm,mae_mm,pearson_r,mape_pct,actual_mean_et_mm,predicted_mean_et_mm,mean_bias_mm
1990,1460,98.12010212873082,0.22752300876723716,0.17928435415868926,0.990653319084077,4.496536715583733,4.5520740599074845,4.554317559151753,0.0022434992442681434
1991,1460,98.4288406802721,0.206523068580823,0.16491677833716115,0.9921341584053166,4.0718262502201865,4.576735886577885,4.573259491098346,-0.0034763954795389296
1992,1464,98.24831106448194,0.21602732113807588,0.17411209430007765,0.991210486755609,4.3185075305131635,4.556647650555811,4.5628268767467315,0.006179226190920595
1993,1460,98.29618529253071,0.21364229311427058,0.1713033445177991,0.9914535839587256,4.299185824924742,4.551745757727135,4.555526882741802,0.003781125014667097
1994,1460,98.30726559669799,0.21289075079593273,0.1688726192969347,0.9915106346134204,4.1763559219966915,4.557972243794645,4.560030336373972,0.0020580925793263205
1995,1460,98.38886875625606,0.20876033106723876,0.16630470238114353,0.9919845869211424,4.1904425491717685,4.549128075679155,4.56461373865042,0.015485662971265413
1996,1464,98.34500506316019,0.21151172122639303,0.16656382668850983,0.991709134556412,4.152561599926469,4.546168521925052,4.553216100611147,0.007047578686094624
1997,1460,98.41303331158518,0.20725019630841152,0.16541366121963988,0.9920593610911971,4.16515313858712,4.5450613939401,4.553718134396713,0.008656740456613576
1998,1460,98.42019349149383,0.2068424732311625,0.16362543052705159,0.9920885481771223,4.057078581190074,4.55800029042256,4.559954559122821,0.0019542687002616077
1999,1460,98.35530844978587,0.21104252971408813,0.1667876414124213,0.9917795603277582,4.093494072980663,4.560214954248317,4.5627629951483595,0.0025480409000424586
